GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYER_NAME_LABEL,SEASON_START_YEAR,ERA,RESULT,CALC_DISTANCE_FT,PLAYER
Shot Chart Detail,22500019,146,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,0,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27.0,130.0,238.0,1,0,20251024,LAL,MIN,Luka Dončić,2025,LAL,Missed,27.1189970316013,Luka Dončić
Shot Chart Detail,22500019,291,1629029,Luka Dončić,1610612747,Los Angeles Lakers,2,3,0,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27.0,48.0,267.0,1,0,20251024,LAL,MIN,Luka Dončić,2025,LAL,Missed,27.128029784707916,Luka Dončić
Shot Chart Detail,22500019,308,1629029,Luka Dončić,1610612747,Los Angeles Lakers,2,1,8,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15.0,32.0,151.0,1,1,20251024,LAL,MIN,Luka Dončić,2025,LAL,Made,15.435349040433133,Luka Dončić
Shot Chart Detail,22500019,344,1629029,Luka Dončić,1610612747,Los Angeles Lakers,3,11,29,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8.0,-17.0,87.0,1,1,20251024,LAL,MIN,Luka Dončić,2025,LAL,Made,8.864536084872125,Luka Dončić
Shot Chart Detail,22500019,382,1629029,Luka Dončić,1610612747,Los Angeles Lakers,3,8,9,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28.0,-21.0,284.0,1,0,20251024,LAL,MIN,Luka Dončić,2025,LAL,Missed,28.477535005684746,Luka Dončić
Shot Chart Detail,22500019,515,1629029,Luka Dončić,1610612747,Los Angeles Lakers,4,11,22,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11.0,-83.0,82.0,1,1,20251024,LAL,MIN,Luka Dončić,2025,LAL,Made,11.667476162392619,Luka Dončić
Shot Chart Detail,22500019,536,1629029,Luka Dončić,1610612747,Los Angeles Lakers,4,9,15,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10.0,55.0,89.0,1,1,20251024,LAL,MIN,Luka Dončić,2025,LAL,Made,10.462313319720453,Luka Dončić
Shot Chart Detail,22500019,550,1629029,Luka Dončić,1610612747,Los Angeles Lakers,4,8,7,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26.0,-210.0,166.0,1,1,20251024,LAL,MIN,Luka Dončić,2025,LAL,Made,26.7686383665662,Luka Dončić
Shot Chart Detail,22500019,575,1629029,Luka Dončić,1610612747,Los Angeles Lakers,4,6,27,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26.0,-53.0,262.0,1,0,20251024,LAL,MIN,Luka Dončić,2025,LAL,Missed,26.730693967796647,Luka Dončić
Shot Chart Detail,22500019,588,1629029,Luka Dončić,1610612747,Los Angeles Lakers,4,5,24,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,7.0,8.0,1,1,20251024,LAL,MIN,Luka Dončić,2025,LAL,Made,1.063014581273465,Luka Dončić
Shot Chart Detail,22500019,607,1629029,Luka Dončić,1610612747,Los Angeles Lakers,4,4,36,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,34.0,91.0,334.0,1,0,20251024,LAL,MIN,Luka Dončić,2025,LAL,Missed,34.617481133092284,Luka Dončić
Shot Chart Detail,22500019,618,1629029,Luka Dončić,1610612747,Los Angeles Lakers,4,3,29,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,-25.0,25.0,1,0,20251024,LAL,MIN,Luka Dončić,2025,LAL,Missed,3.5355339059327378,Luka Dončić
Shot Chart Detail,22500024,7,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,11,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26.0,83.0,251.0,1,0,20251031,MEM,LAL,Luka Dončić,2025,MEM,Missed,26.436716891475008,Luka Dončić
